Date,Timestamp,result
18.11.2019,18:57,262
18.11.2019,12:29,249
18.11.2019,18:06,260
18.11.2019,12:08,248
18.11.2019,14:35,253
18.11.2019,20:05,262
18.11.2019,19:53,253
18.11.2019,16:58,244
18.11.2019,21:22,245
18.11.2019,15:12,249
19.11.2019,15:26,244
19.11.2019,15:48,265
19.11.2019,20:12,260
19.11.2019,12:51,256
19.11.2019,16:26,247
19.11.2019,15:24,240
19.11.2019,21:56,248
19.11.2019,19:57,269
19.11.2019,16:10,249
19.11.2019,17:03,247
20.11.2019,18:57,265
20.11.2019,12:29,265
20.11.2019,18:06,266
20.11.2019,12:08,277
20.11.2019,14:35,252
20.11.2019,20:05,243
20.11.2019,19:53,254
20.11.2019,16:58,256
20.11.2019,21:22,264
20.11.2019,15:12,250
21.11.2019,15:26,265
21.11.2019,15:48,266
21.11.2019,20:12,263
21.11.2019,12:51,264
21.11.2019,16:26,263
21.11.2019,15:24,267
21.11.2019,21:56,245
21.11.2019,19:57,265
21.11.2019,16:10,253
21.11.2019,17:03,264
22.11.2019,18:57,255
22.11.2019,12:29,253
22.11.2019,18:06,255
22.11.2019,12:08,271
22.11.2019,14:35,252
22.11.2019,20:05,261
22.11.2019,19:53,272
22.11.2019,16:58,267
22.11.2019,21:22,260
22.11.2019,15:12,240
