Date,Time,result
18.11.2019,21:44,11
18.11.2019,20:10,14
18.11.2019,17:53,7
18.11.2019,18:56,11
18.11.2019,12:40,8
18.11.2019,11:14,9
18.11.2019,18:18,12
18.11.2019,9:52,14
18.11.2019,9:25,10
18.11.2019,14:24,11
19.11.2019,13:29,15
19.11.2019,10:26,13
19.11.2019,21:50,10
19.11.2019,13:03,10
19.11.2019,9:55,13
19.11.2019,11:45,14
19.11.2019,18:34,12
19.11.2019,10:51,11
19.11.2019,21:21,14
19.11.2019,12:17,13
20.11.2019,21:44,8
20.11.2019,20:10,14
20.11.2019,17:53,12
20.11.2019,18:56,13
20.11.2019,12:40,12
20.11.2019,11:14,10
20.11.2019,18:18,13
20.11.2019,9:52,14
20.11.2019,9:25,10
20.11.2019,13:22,14
21.11.2019,11:03,11
21.11.2019,12:20,11
21.11.2019,20:36,11
21.11.2019,14:08,11
21.11.2019,14:48,10
21.11.2019,20:01,13
21.11.2019,11:36,12
21.11.2019,17:15,12
21.11.2019,20:21,16
21.11.2019,13:08,9
22.11.2019,11:44,13
22.11.2019,19:17,12
22.11.2019,11:22,13
22.11.2019,13:22,13
22.11.2019,11:03,11
22.11.2019,12:20,10
22.11.2019,20:36,12
22.11.2019,14:08,12
22.11.2019,14:48,9
22.11.2019,20:01,11
