Date,Timestamp,result
18.11.2019,10:46,38
18.11.2019,10:17,32
18.11.2019,17:45,50
18.11.2019,21:43,21
18.11.2019,9:40,32
18.11.2019,17:21,43
18.11.2019,14:15,32
18.11.2019,14:51,46
18.11.2019,11:28,53
18.11.2019,11:21,36
19.11.2019,13:52,42
19.11.2019,18:27,39
19.11.2019,16:25,47
19.11.2019,9:04,41
19.11.2019,15:00,49
19.11.2019,14:49,26
19.11.2019,10:25,36
19.11.2019,21:07,33
19.11.2019,13:52,36
19.11.2019,21:25,36
20.11.2019,21:21,43
20.11.2019,11:29,55
20.11.2019,10:48,45
20.11.2019,17:35,28
20.11.2019,16:08,68
20.11.2019,9:38,31
20.11.2019,10:17,50
20.11.2019,18:50,30
20.11.2019,9:23,42
20.11.2019,18:59,39
21.11.2019,21:50,24
21.11.2019,20:41,39
21.11.2019,14:37,31
21.11.2019,14:11,47
21.11.2019,14:00,53
21.11.2019,14:04,55
21.11.2019,21:05,32
21.11.2019,18:41,53
21.11.2019,9:03,44
21.11.2019,21:36,45
22.11.2019,10:27,55
22.11.2019,21:57,42
22.11.2019,21:42,46
22.11.2019,21:39,41
22.11.2019,16:57,47
22.11.2019,11:17,27
22.11.2019,10:52,51
22.11.2019,14:48,46
22.11.2019,9:03,31
22.11.2019,12:33,49
