Date,Timestamp,result
18.11.2019,18:57,267
18.11.2019,12:29,268
18.11.2019,18:06,282
18.11.2019,12:08,272
18.11.2019,14:35,276
18.11.2019,20:05,273
18.11.2019,19:53,259
18.11.2019,16:58,268
18.11.2019,21:22,275
18.11.2019,15:12,273
19.11.2019,15:26,266
19.11.2019,15:48,265
19.11.2019,20:12,277
19.11.2019,12:51,276
19.11.2019,16:26,273
19.11.2019,15:24,258
19.11.2019,21:56,271
19.11.2019,19:57,281
19.11.2019,16:10,263
19.11.2019,17:03,279
20.11.2019,18:57,255
20.11.2019,12:29,265
20.11.2019,18:06,257
20.11.2019,12:08,255
20.11.2019,14:35,287
20.11.2019,20:05,267
20.11.2019,19:53,284
20.11.2019,16:58,271
20.11.2019,21:22,264
20.11.2019,15:12,265
21.11.2019,15:26,261
21.11.2019,15:48,280
21.11.2019,20:12,282
21.11.2019,12:51,253
21.11.2019,16:26,277
21.11.2019,15:24,272
21.11.2019,21:56,279
21.11.2019,19:57,257
21.11.2019,16:10,274
21.11.2019,17:03,289
22.11.2019,18:57,264
22.11.2019,12:29,275
22.11.2019,18:06,273
22.11.2019,12:08,263
22.11.2019,14:35,271
22.11.2019,20:05,280
22.11.2019,19:53,269
22.11.2019,16:58,274
22.11.2019,21:22,270
22.11.2019,15:12,261
