Date,Timestamp,result
18.11.2019,10:46,48
18.11.2019,10:17,39
18.11.2019,17:45,54
18.11.2019,21:43,54
18.11.2019,9:40,58
18.11.2019,17:21,51
18.11.2019,14:15,35
18.11.2019,14:51,46
18.11.2019,11:28,24
18.11.2019,11:21,28
19.11.2019,13:52,42
19.11.2019,18:27,40
19.11.2019,16:25,37
19.11.2019,9:04,25
19.11.2019,15:00,43
19.11.2019,14:49,51
19.11.2019,10:25,55
19.11.2019,21:07,54
19.11.2019,13:52,54
19.11.2019,21:25,35
20.11.2019,21:21,37
20.11.2019,11:29,28
20.11.2019,10:48,47
20.11.2019,17:35,41
20.11.2019,16:08,44
20.11.2019,9:38,18
20.11.2019,10:17,47
20.11.2019,18:50,52
20.11.2019,9:23,41
20.11.2019,18:59,17
21.11.2019,21:50,27
21.11.2019,20:41,42
21.11.2019,14:37,53
21.11.2019,14:11,46
21.11.2019,14:00,38
21.11.2019,14:04,43
21.11.2019,21:05,53
21.11.2019,18:41,22
21.11.2019,9:03,42
21.11.2019,21:36,29
22.11.2019,10:27,49
22.11.2019,21:57,37
22.11.2019,21:42,37
22.11.2019,21:39,25
22.11.2019,16:57,46
22.11.2019,11:17,27
22.11.2019,10:52,50
22.11.2019,14:48,53
22.11.2019,9:03,37
22.11.2019,12:33,45
