Date,Time,result
18.11.2019,21:44,15
18.11.2019,20:10,13
18.11.2019,17:53,8
18.11.2019,18:56,13
18.11.2019,12:40,13
18.11.2019,11:14,14
18.11.2019,18:18,12
18.11.2019,9:52,11
18.11.2019,9:25,14
18.11.2019,14:24,11
19.11.2019,13:29,13
19.11.2019,10:26,9
19.11.2019,21:50,11
19.11.2019,13:03,11
19.11.2019,9:55,10
19.11.2019,11:45,11
19.11.2019,18:34,8
19.11.2019,10:51,12
19.11.2019,21:21,12
19.11.2019,12:17,12
20.11.2019,21:44,10
20.11.2019,20:10,16
20.11.2019,17:53,11
20.11.2019,18:56,10
20.11.2019,12:40,10
20.11.2019,11:14,15
20.11.2019,18:18,10
20.11.2019,9:52,11
20.11.2019,9:25,12
20.11.2019,13:22,15
21.11.2019,11:03,9
21.11.2019,12:20,13
21.11.2019,20:36,12
21.11.2019,14:08,15
21.11.2019,14:48,11
21.11.2019,20:01,11
21.11.2019,11:36,11
21.11.2019,17:15,11
21.11.2019,20:21,12
21.11.2019,13:08,8
22.11.2019,11:44,12
22.11.2019,19:17,8
22.11.2019,11:22,10
22.11.2019,13:22,8
22.11.2019,11:03,8
22.11.2019,12:20,10
22.11.2019,20:36,10
22.11.2019,14:08,9
22.11.2019,14:48,10
22.11.2019,20:01,15
