Date,Timestamp,result
18.11.2019,11:29,9
18.11.2019,12:34,10
18.11.2019,13:57,12
18.11.2019,14:30,11
18.11.2019,15:39,11
18.11.2019,16:59,9
18.11.2019,17:50,11
18.11.2019,18:52,10
18.11.2019,19:57,10
18.11.2019,21:15,11
19.11.2019,08:54,12 
19.11.2019,10:33,9
19.11.2019,13:21,12
19.11.2019,14:40,12
19.11.2019,16:06,10
19.11.2019,17:01,9
19.11.2019,21:28,11
19.11.2019,22:36,11
20.11.2019,07:35,11
20.11.2019,09:06,11
20.11.2019,10:16,12
20.11.2019,11:43,11
20.11.2019,13:27,11
20.11.2019,14:40,10
20.11.2019,15:28,13
20.11.2019,16:32,10
20.11.2019,19:19,10
20.11.2019,20:45,11
20.11.2019,22:17,11
21.11.2019,08:53,11
21.11.2019,12:01,9
21.11.2019,15:23,9
21.11.2019,17:03,9
21.11.2019,18:58,9
21.11.2019,21:29,11
22.11.2019,09:07,10
22.11.2019,15:14,10
22.11.2019,16:35,14
