Date,Timestamp,result
18.11.2019,18:57,248
18.11.2019,12:29,248
18.11.2019,18:06,249
18.11.2019,12:08,241
18.11.2019,14:35,252
18.11.2019,20:05,251
18.11.2019,19:53,241
18.11.2019,16:58,238
18.11.2019,21:22,259
18.11.2019,15:12,248
19.11.2019,15:26,241
19.11.2019,15:48,242
19.11.2019,20:12,233
19.11.2019,12:51,259
19.11.2019,16:26,252
19.11.2019,15:24,245
19.11.2019,21:56,243
19.11.2019,19:57,244
19.11.2019,16:10,248
19.11.2019,17:03,249
20.11.2019,18:57,241
20.11.2019,12:29,249
20.11.2019,18:06,252
20.11.2019,12:08,247
20.11.2019,14:35,247
20.11.2019,20:05,245
20.11.2019,19:53,254
20.11.2019,16:58,254
20.11.2019,21:22,252
20.11.2019,15:12,234
21.11.2019,15:26,245
21.11.2019,15:48,235
21.11.2019,20:12,251
21.11.2019,12:51,232
21.11.2019,16:26,255
21.11.2019,15:24,248
21.11.2019,21:56,230
21.11.2019,19:57,254
21.11.2019,16:10,252
21.11.2019,17:03,245
22.11.2019,18:57,242
22.11.2019,12:29,231
22.11.2019,18:06,255
22.11.2019,12:08,250
22.11.2019,14:35,259
22.11.2019,20:05,256
22.11.2019,19:53,240
22.11.2019,16:58,232
22.11.2019,21:22,243
22.11.2019,15:12,249
