Date,Timestamp,result
18.11.2019,14:33,13
18.11.2019,15:40,11
18.11.2019,16:30,10
18.11.2019,17:35,12
18.11.2019,19:33,10
18.11.2019,23:10,10
19.11.2019,10:23,11
19.11.2019,17:28,13
19.11.2019,18:45,11
19.11.2019,22:05,11
20.11.2019,09:38,11
20.11.2019,12:55,13
20.11.2019,17:04,12
20.11.2019,19:45,11
20.11.2019,22:45,13
22.11.2019,07:15,14
22.11.2019,11:45,14
22.11.2019,15:27,13
22.11.2019,18:43,12
22.11.2019,22:07,11
23.11.2019,14:56,13
23.11.2019,14:57,14
23.11.2019,18:35,12
23.11.2019,22:32,11
24.11.2019,09:43,14
24.11.2019,11:45,12
24.11.2019,15:12,12
24.11.2019,19:35,11
24.11.2019,22:41,10
