Date,Timestamp,result
18.11.2019,11:32,50
18.11.2019,12:36,43
18.11.2019,13:59,52
18.11.2019,14:32,52
18.11.2019,15:41,51
18.11.2019,17:01,47
18.11.2019,17:52,49
18.11.2019,18:54,53
18.11.2019,19:59,47
18.11.2019,21:17,54
19.11.2019,08:56,46
19.11.2019,10:56,46
19.11.2019,13:23,53
19.11.2019,14:42,54
19.11.2019,16:07,56
19.11.2019,17:04,56
19.11.2019,21:30,56
19.11.2019,22:38,53
20.11.2019,07:38,44
20.11.2019,09:09,49
20.11.2019,10:18,56
20.11.2019,11:45,58
20.11.2019,13:30,50
20.11.2019,14:42,55
20.11.2019,15:30,55
20.11.2019,16:34,55
20.11.2019,19:22,43
20.11.2019,20:48,50
20.11.2019,22:19,46
21.11.2019,08:56,41
21.11.2019,12:03,57
21.11.2019,15:25,55
21.11.2019,17:05,51
21.11.2019,19:00,48
21.11.2019,21:30,41
22.11.2019,09:09,41
22.11.2019,15:16,50
22.11.2019,16:37,52
