Date,Time,result
18.11.2019,21:44,12
18.11.2019,20:10,12
18.11.2019,17:53,13
18.11.2019,18:56,10
18.11.2019,12:40,13
18.11.2019,11:14,11
18.11.2019,18:18,12
18.11.2019,9:52,12
18.11.2019,9:25,11
18.11.2019,14:24,12
19.11.2019,13:29,12
19.11.2019,10:26,17
19.11.2019,21:50,13
19.11.2019,13:03,13
19.11.2019,9:55,11
19.11.2019,11:45,11
19.11.2019,18:34,12
19.11.2019,10:51,15
19.11.2019,21:21,11
19.11.2019,12:17,12
20.11.2019,21:44,10
20.11.2019,20:10,8
20.11.2019,17:53,9
20.11.2019,18:56,10
20.11.2019,12:40,11
20.11.2019,11:14,12
20.11.2019,18:18,13
20.11.2019,9:52,11
20.11.2019,9:25,12
20.11.2019,13:22,14
21.11.2019,11:03,7
21.11.2019,12:20,14
21.11.2019,20:36,12
21.11.2019,14:08,13
21.11.2019,14:48,15
21.11.2019,20:01,12
21.11.2019,11:36,13
21.11.2019,17:15,7
21.11.2019,20:21,12
21.11.2019,13:08,9
22.11.2019,11:44,13
22.11.2019,19:17,10
22.11.2019,11:22,14
22.11.2019,13:22,14
22.11.2019,11:03,13
22.11.2019,12:20,10
22.11.2019,20:36,12
22.11.2019,14:08,14
22.11.2019,14:48,13
22.11.2019,20:01,13
